scenario,true_fraud,pred_fraud,fraud_probability,decision
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.005,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,0.395,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,0.435,BLOCK
01_normal_baseline,0,0,0.01,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,1,1,0.76,BLOCK
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,1,1,0.965,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,0.995,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,0.9,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,1,1,1.0,BLOCK
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
01_normal_baseline,0,0,0.0,ALLOW
