step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,balance_diff_orig,balance_diff_dest,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,is_high_amount,amount_log,error_orig,error_dest,high_risk_transaction
1,9839.64,170136.0,160296.36,0.0,0.0,0.0,0.0,-9839.640000000014,0.0,0,0,1,0,0,9.194276028581655,1.4551915228366852e-11,9839.64,0
1,1864.28,21249.0,19384.72,0.0,0.0,0.0,0.0,-1864.2799999999988,0.0,0,0,1,0,0,7.531166454857185,1.1368683772161603e-12,1864.28,0
1,181.0,181.0,0.0,0.0,0.0,1.0,0.0,-181.0,0.0,0,0,0,1,0,5.204006687076795,0.0,181.0,0
1,181.0,181.0,0.0,21182.0,0.0,1.0,0.0,-181.0,-21182.0,1,0,0,0,0,5.204006687076795,0.0,21363.0,0
1,11668.14,41554.0,29885.86,0.0,0.0,0.0,0.0,-11668.14,0.0,0,0,1,0,0,9.364703029334617,0.0,11668.14,0
1,7817.71,53860.0,46042.29,0.0,0.0,0.0,0.0,-7817.709999999999,0.0,0,0,1,0,0,8.96427485829486,9.094947017729282e-13,7817.71,0
1,7107.77,183195.0,176087.23,0.0,0.0,0.0,0.0,-7107.7699999999895,0.0,0,0,1,0,0,8.8690845120512,1.0913936421275139e-11,7107.77,0
1,7861.64,176087.23,168225.59,0.0,0.0,0.0,0.0,-7861.640000000014,0.0,0,0,1,0,0,8.969877706891506,1.3642420526593924e-11,7861.64,0
1,4024.36,2671.0,0.0,0.0,0.0,0.0,0.0,-2671.0,0.0,0,0,1,0,0,8.300369626846845,1353.3600000000001,4024.36,0
1,5337.77,41720.0,36382.23,41898.0,40348.79,0.0,0.0,-5337.769999999997,-1549.2099999999991,0,1,0,0,0,8.58275056834393,3.637978807091713e-12,6886.98,0
1,9644.94,4465.0,0.0,10845.0,157982.12,0.0,0.0,-4465.0,147137.12,0,1,0,0,0,9.174292380414672,5179.9400000000005,137492.18,0
1,3099.97,20771.0,17671.03,0.0,0.0,0.0,0.0,-3099.970000000001,0.0,0,0,1,0,0,8.039470244755039,1.3642420526593924e-12,3099.97,0
1,2560.74,5070.0,2509.26,0.0,0.0,0.0,0.0,-2560.74,0.0,0,0,1,0,0,7.848441994090672,0.0,2560.74,0
1,11633.76,10127.0,0.0,0.0,0.0,0.0,0.0,-10127.0,0.0,0,0,1,0,0,9.361752448106369,1506.7600000000002,11633.76,0
1,4098.78,503264.0,499165.22,0.0,0.0,0.0,0.0,-4098.780000000028,0.0,0,0,1,0,0,8.318688592716143,2.8194335754960775e-11,4098.78,0
1,229133.94,15325.0,0.0,5083.0,51513.44,0.0,0.0,-15325.0,46430.44,1,0,0,0,1,12.342066366634185,213808.94,182703.5,0
1,1563.82,450.0,0.0,0.0,0.0,0.0,0.0,-450.0,0.0,0,0,1,0,0,7.355526080384968,1113.82,1563.82,0
1,1157.86,21156.0,19998.14,0.0,0.0,0.0,0.0,-1157.8600000000006,0.0,0,0,1,0,0,7.055192042255847,6.821210263296962e-13,1157.86,0
1,671.64,15123.0,14451.36,0.0,0.0,0.0,0.0,-671.6399999999994,0.0,0,0,1,0,0,6.511210268248532,5.684341886080801e-13,671.64,0
1,215310.3,705.0,0.0,22425.0,0.0,0.0,0.0,-705.0,-22425.0,0,0,0,1,1,12.279840166879954,214605.3,237735.3,1
1,1373.43,13854.0,12480.57,0.0,0.0,0.0,0.0,-1373.4300000000003,0.0,0,0,1,0,0,7.225794378698406,2.2737367544323206e-13,1373.43,0
